ID,Name,DraftKings_Position,DraftKings_ADP,DraftKings_Team,Mapped Name,ESPN_Rank,ESPN_Positional_Rank,Team,ESPN_Salary_Cap_Value,Bye Week
1231136,Javon Baker,WR,217.93867,NE,Javon Baker,,,,,
867303,Gardner Minshew II,QB,218.44632,LV,Gardner Minshew II,296,QB32,LV,0,10
1068724,Raheem Blackshear,RB,218.99997,CAR,Raheem Blackshear,,,,,
746491,Zay Jones,WR,219.2302,ARI,Zay Jones,209,WR79,ARI,0,11
1128085,Greg Dulcich,TE,220.16202,DEN,Greg Dulcich,292,TE33,DEN,0,14
1163273,Jordan Whittington,WR,220.50336,LAR,Jordan Whittington,,,,,
884083,Dawson Knox,TE,221.07188,BUF,Dawson Knox,259,TE28,BUF,0,12
944343,Alexander Mattison,RB,221.96706,LV,Alexander Mattison,170,RB54,LV,0,10
880557,Darius Slayton,WR,222.61807,NYG,Darius Slayton,204,WR76,NYG,0,11
867759,Ray-Ray McCloud III,WR,223.13896,ATL,Ray-Ray McCloud III,,,,,
837958,Allen Lazard,WR,223.14091,NYJ,Allen Lazard,,,,,
912070,Michael Gallup,WR,223.2626,FA,Michael Gallup,,,,,
1122182,Dylan Laube,RB,223.59555,LV,Dylan Laube,,,,,
822367,Josh Reynolds,WR,223.62318,DEN,Josh Reynolds,274,WR100,DEN,0,14
835909,JuJu Smith-Schuster,WR,224.3087,NE,JuJu Smith-Schuster,,,,,
742382,Marquez Valdes-Scantling,WR,224.40985,BUF,Marquez Valdes-Scantling,,,,,
1128783,Elijah Moore,WR,224.43378,CLE,Elijah Moore,262,WR94,CLE,0,10
973945,Mac Jones,QB,224.46773,JAX,Mac Jones,,,,,
884943,Trenton Irwin,WR,224.5762,CIN,Trenton Irwin,,,,,
1180328,Ainias Smith,WR,224.638,PHI,Ainias Smith,,,,,
911644,Collin Johnson,WR,224.6697,CHI,Collin Johnson,,,,,
976650,Clyde Edwards-Helaire,RB,224.69136,KC,Clyde Edwards-Helaire,195,RB58,KC,0,6
835443,D'Onta Foreman,RB,224.7221,CLE,D'Onta Foreman,248,RB77,CLE,0,10
555693,Robert Woods,WR,224.7592,HOU,Robert Woods,,,,,
824080,Dalvin Cook,RB,224.7855,FA,Dalvin Cook,,,,,
943189,Trishton Jackson,WR,224.8958,MIN,Trishton Jackson,,,,,
1393832,Ryan Flournoy,WR,224.9643,DAL,Ryan Flournoy,,,,,
976924,Kenny Pickett,QB,224.968,PHI,Kenny Pickett,,,,,
920756,Devin Duvernay,WR,225.0175,JAX,Devin Duvernay,,,,,
976251,Cam Akers,RB,225.0604,HOU,Cam Akers,,,,,
1160348,John Metchie III,WR,225.0735,HOU,John Metchie III,,,,,
820866,Braxton Berrios,WR,225.0878,MIA,Braxton Berrios,,,,,
25347,Tom Brady,QB,225.11415,FA,Tom Brady,,,,,
832220,Justin Watson,WR,225.15768,KC,Justin Watson,,,,,
883259,Nick Westbrook-Ikhine,WR,225.1626,TEN,Nick Westbrook-Ikhine,,,,,
1110725,Justyn Ross,WR,225.2251,KC,Justyn Ross,,,,,
1214414,Theo Johnson,TE,225.23944,NYG,Theo Johnson,,,,,
501150,Kyle Juszczyk,RB,225.24254,SF,Kyle Juszczyk,280,RB87,SF,0,9
1326628,Ja'Tavion Sanders,TE,225.25226,CAR,Ja'Tavion Sanders,,,,,
1167356,Craig Reynolds,RB,225.2754,DET,Craig Reynolds,,,,,
1106760,Tutu Atwell,WR,225.35872,LAR,Tutu Atwell,295,WR104,LAR,0,6
1229074,Parker Washington,WR,225.3837,JAX,Parker Washington,,,,,
1213636,Xavier Hutchinson,WR,225.4483,HOU,Xavier Hutchinson,,,,,
1050234,Donovan Peoples-Jones,WR,225.4966,DET,Donovan Peoples-Jones,,,,,
1066811,Aidan O'Connell,QB,225.55646,LV,Aidan O'Connell,301,QB33,LV,0,10
884080,Van Jefferson,WR,225.55737,PIT,Van Jefferson,261,WR93,PIT,0,9
865868,Jarrett Stidham,QB,225.58067,DEN,Jarrett Stidham,,,,,
975503,Jelani Woods,TE,225.5825,IND,Jelani Woods,260,TE29,IND,0,14
880146,Nyheim Hines,RB,225.5882,CLE,Nyheim Hines,245,RB74,CLE,0,10
1222789,Keaton Mitchell,RB,225.666,BAL,Keaton Mitchell,171,RB55,BAL,0,14
922026,Mecole Hardman,WR,225.6695,KC,Mecole Hardman,,,,,
1130242,Luke Schoonmaker,TE,225.6966,DAL,Luke Schoonmaker,,,,,
1121050,Jake Bobo,WR,225.6993,SEA,Jake Bobo,,,,,
1381164,Sione Vaki,RB,225.7171,DET,Sione Vaki,,,,,
865958,KaVontae Turpin,WR,225.76207,DAL,KaVontae Turpin,284,WR102,DAL,0,7
1126817,Jalen Nailor,WR,225.77234,MIN,Jalen Nailor,,,,,
1177970,Xavier Gipson,WR,225.7755,NYJ,Xavier Gipson,,,,,
1172050,Kenny McIntosh,RB,225.8189,SEA,Kenny McIntosh,283,RB90,SEA,0,10
1447759,Emanuel Wilson,RB,225.8232,GB,Emanuel Wilson,,,,,
563824,Jerick McKinnon,RB,225.8658,FA,Jerick McKinnon,,,,,
974825,Kadarius Toney,WR,225.8689,KC,Kadarius Toney,,,,,
1131206,Dallin Holker,TE,225.9091,NO,Dallin Holker,,,,,
1271609,Isaiah Davis,RB,225.972,NYJ,Isaiah Davis,247,RB76,NYJ,0,12
1127080,Nikko Remigio,WR,225.9808,KC,Nikko Remigio,,,,,
822014,Russell Gage,WR,225.9828,FA,Russell Gage,,,,,
1130705,Kenneth Gainwell,RB,226.0066,PHI,Kenneth Gainwell,225,RB66,PHI,0,5
1108990,Blake Watson,RB,226.0612,DEN,Blake Watson,,,,,
746613,Kareem Hunt,RB,226.0618,FA,Kareem Hunt,,,,,
1182695,Mason Tipton,WR,226.0769,NO,Mason Tipton,,,,,
975387,Isaiah Hodgins,WR,226.0778,NYG,Isaiah Hodgins,,,,,
695311,Jamaal Williams,RB,226.08287,NO,Jamaal Williams,221,RB63,NO,0,12
1506510,Louis Rees-Zammit,RB,226.1227,KC,Louis Rees-Zammit,,,,,
924261,Miles Sanders,RB,226.16644,CAR,Miles Sanders,167,RB51,CAR,0,11
1178628,Jamari Thrash,WR,226.1818,CLE,Jamari Thrash,,,,,
691055,Nelson Agholor,WR,226.20575,BAL,Nelson Agholor,253,WR92,BAL,0,14
1128998,Deneric Prince,RB,226.2393,KC,Deneric Prince,,,,,
1113403,Chris Rodriguez Jr.,RB,226.2444,WAS,Chris Rodriguez Jr.,277,RB84,WAS,0,14
741262,Joshua Dobbs,QB,226.2667,SF,Joshua Dobbs,,,,,
1161739,Trey Palmer,WR,226.2975,TB,Trey Palmer,228,WR84,TB,0,11
1176730,Skyy Moore,WR,226.3245,KC,Skyy Moore,,,,,
841649,Hunter Renfrow,WR,226.3488,FA,Hunter Renfrow,,,,,
1109285,Terrace Marshall Jr.,WR,226.3651,CAR,Terrace Marshall Jr.,,,,,
750097,Matt Breida,RB,226.375,FA,Matt Breida,,,,,
1213362,Kayshon Boutte,WR,226.3761,NE,Kayshon Boutte,,,,,
946748,Kene Nwangwu,RB,226.3853,MIN,Kene Nwangwu,,,,,
830751,Daurice Fountain,WR,226.3953,DET,Daurice Fountain,,,,,
1161853,Elijah Higgins,TE,226.4012,ARI,Elijah Higgins,,,,,
978120,Brock Wright,TE,226.404,DET,Brock Wright,,,,,
973949,Tyrell Shavers,WR,226.4167,BUF,Tyrell Shavers,,,,,
875444,Adam Trautman,TE,226.4612,DEN,Adam Trautman,,,,,
589984,Odell Beckham Jr.,WR,226.4838,MIA,Odell Beckham Jr.,231,WR87,MIA,0,6
1319219,Carson Steele,RB,226.4839,KC,Carson Steele,,,,,
1181659,Cornelius Johnson,WR,226.5567,LAC,Cornelius Johnson,,,,,
1225999,Brenden Rice,WR,226.7365,LAC,Brenden Rice,,,,,
822013,Leonard Fournette,RB,226.8,FA,Leonard Fournette,,,,,
748309,Nick Mullens,QB,226.8141,MIN,Nick Mullens,,,,,
1277914,Devontez Walker,WR,226.87393,BAL,Devontez Walker,,,,,
836104,Parris Campbell,WR,226.9111,PHI,Parris Campbell,,,,,
1110301,Tyquan Thornton,WR,226.9138,NE,Tyquan Thornton,,,,,
836103,Noah Brown,WR,226.9421,HOU,Noah Brown,,,,,
1107027,Alec Pierce,WR,226.9652,IND,Alec Pierce,,,,,
749968,Durham Smythe,TE,226.9924,MIA,Durham Smythe,,,,,
607047,Jacoby Brissett,QB,227.0381,NE,Jacoby Brissett,,,,,
1233127,Frank Gore Jr.,RB,227.0539,BUF,Frank Gore Jr.,,,,,
1056981,Noah Gray,TE,227.0689,KC,Noah Gray,,,,,
1168918,Tyler Goodson,RB,227.0957,IND,Tyler Goodson,,,,,
1172080,Bub Means,WR,227.1444,NO,Bub Means,,,,,
1180332,Isaiah Spiller,RB,227.1525,LAC,Isaiah Spiller,282,RB89,LAC,0,5
1130270,Rondale Moore,WR,227.1714,ATL,Rondale Moore,230,WR86,ATL,0,12
1107478,Michael Penix Jr.,QB,227.17355,ATL,Michael Penix Jr.,316,QB37,ATL,0,12
690153,Cordarrelle Patterson,RB,227.2215,PIT,Cordarrelle Patterson,281,RB88,PIT,0,9
1214249,Israel Abanikanda,RB,227.2258,NYJ,Israel Abanikanda,,,,,
1140248,Cody Schrader,RB,227.3214,SF,Cody Schrader,,,,,
507528,Logan Thomas,TE,227.35934,SF,Logan Thomas,,,,,
1228633,Sean Tucker,RB,227.3667,TB,Sean Tucker,,,,,
1181861,Jacob Cowing,WR,227.3906,SF,Jacob Cowing,,,,,
1175182,Cade Stover,TE,227.4325,HOU,Cade Stover,,,,,
881058,K.J. Osborn,WR,227.4396,NE,K.J. Osborn,,,,,
883976,Olamide Zaccheaus,WR,227.4539,WAS,Olamide Zaccheaus,,,,,
881779,Josh Oliver,TE,227.4693,MIN,Josh Oliver,,,,,
692660,Kalif Raymond,WR,227.47723,DET,Kalif Raymond,252,WR91,DET,0,5
820435,Brandon Powell,WR,227.5287,MIN,Brandon Powell,,,,,
691278,Sterling Shepard,WR,227.5789,TB,Sterling Shepard,,,,,
831007,Easton Stick,QB,227.6078,LAC,Easton Stick,,,,,
739424,Austin Hooper,TE,227.6684,NE,Austin Hooper,,,,,
881956,Hayden Hurst,TE,227.69417,LAC,Hayden Hurst,217,TE26,LAC,0,5
1112338,Joe Milton III,QB,227.7265,NE,Joe Milton III,,,,,
1062765,Calvin Austin III,WR,227.7813,PIT,Calvin Austin III,,,,,
1050335,Pierre Strong Jr.,RB,227.8,CLE,Pierre Strong Jr.,,,,,
1107878,Dyami Brown,WR,227.8136,WAS,Dyami Brown,,,,,
754412,Kendrick Bourne,WR,227.85323,NE,Kendrick Bourne,182,WR68,NE,0,14
1130555,Tommy Tremble,TE,227.8667,CAR,Tommy Tremble,,,,,
838179,Tim Patrick,WR,227.87392,DEN,Tim Patrick,271,WR97,DEN,0,14
1174752,Spencer Rattler,QB,227.8991,NO,Spencer Rattler,,,,,
712506,Mo Alie-Cox,TE,227.9147,IND,Mo Alie-Cox,,,,,
607843,Marcus Mariota,QB,227.9565,WAS,Marcus Mariota,,,,,
602091,Martavis Bryant,WR,228.0,FA,Martavis Bryant,,,,,
1130975,Trey Lance,QB,228.0339,DAL,Trey Lance,,,,,
1172024,Treylon Burks,WR,228.04851,TEN,Treylon Burks,,,,,
1173255,Malik Washington,WR,228.0892,MIA,Malik Washington,,,,,
1107037,Josh Whyle,TE,228.1182,TEN,Josh Whyle,,,,,
912061,Cedrick Wilson Jr.,WR,228.1226,NO,Cedrick Wilson Jr.,,,,,
1232592,Michael Mayer,TE,228.1281,LV,Michael Mayer,,,,,
838487,Gerald Everett,TE,228.1577,CHI,Gerald Everett,,,,,
1223301,Jalen Brooks,WR,228.1776,DAL,Jalen Brooks,,,,,
1176782,Jonathan Mingo,WR,228.2138,CAR,Jonathan Mingo,275,WR101,CAR,0,11
