Overall Rank,Positional Rank,Player Name,Team,Salary Cap Value,Bye Week
227,WR83,Jalin Hyatt,NYG,0,11
228,WR84,Trey Palmer,TB,0,11
229,WR85,Malachi Corley,NYJ,0,12
230,WR86,Rondale Moore,ATL,0,12
231,WR87,Odell Beckham Jr.,MIA,0,6
232,WR88,Luke McCaffrey,WAS,0,14
233,WR89,Jalen McMillan,TB,0,11
17,WR9,Chris Olave,NO,38,12
234,WR90,Dontayvion Wicks,GB,0,10
252,WR91,Kalif Raymond,DET,0,5
253,WR92,Nelson Agholor,BAL,0,14
261,WR93,Van Jefferson,PIT,0,9
262,WR94,Elijah Moore,CLE,0,10
263,WR95,Roman Wilson,PIT,0,9
264,WR96,Tre Tucker,LV,0,10
271,WR97,Tim Patrick,DEN,0,14
272,WR98,Cedric Tillman,CLE,0,10
273,WR99,Jamison Crowder,WAS,0,14
301,QB33,Aidan O'Connell,LV,0,10
302,QB34,Sam Darnold,MIN,0,6
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,QB35,Jacboy Brisset,NE,0,14
311,TE35,Isaiah Likely,BAL,0,14
312,,,,,
313,,,,,
314,,,,,
315,QB36,Justin Fields,PIT,0,9
316,QB37,Michael Penix Jr.,ATL,0,12
317,QB38,Sam Howell,SEA,0,10
318,QB39,Tyrod Taylor,NYJ,0,12
319,QB40,Joe Flacco,IND,0,14
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
